Janela,address,tipo
Maduro_3_Depois,0x0000fc16bd931a2a6e25437d74a9480b51f50000,auth
Maduro_3_Depois,0x00002c3ab2b5743ec3d23527f37b1d823abcdead,auth
Maduro_3_Depois,0x0000e60b93aaf6897f955cbe419d8f4119f30d95,auth
Maduro_3_Depois,0x00008026e7f75a138f2e1dfc58119ceb527073f9,auth
Maduro_3_Depois,0x003ff421de8aea12bb193b6a5358fd1d16c1f353,auth
Maduro_3_Depois,0x0084f704e25952b169f9e295e6642e11e279e95e,auth
Maduro_3_Depois,0x0086f3332c4e7a038e8feac8955eb1e1733ce53a,auth
Maduro_3_Depois,0x000069ee9190afcad04ab4e985801ebaace80e49,auth
Maduro_3_Depois,0x00008e8c22a3a83d46686657e890d2835cc48a90,auth
Maduro_3_Depois,0x003e23602355f77a15669ce01b50edd0a3555dfc,auth
Maduro_3_Depois,0x00569b0863d441d0c30c4383818444c5c6dfec9c,auth
Maduro_3_Depois,0x0000d608ab3f94ab2a41c1213d8e4516de36d8e3,auth
Maduro_3_Depois,0x0000688f1a390e2d849ec74858b7ff7b4e940d95,auth
Maduro_3_Depois,0x00005f57357970308aa51f501cab99d4ab840cac,auth
Maduro_3_Depois,0x0041c9dd32e8f2bdeb576ea34cff5662e214d0c5,auth
Khamenei_1_Antes,0x00609135b395991edd36db7b69f9223bd105c44f,hub
Khamenei_1_Antes,0x006aa09594b166525fce10c30111dae9903dfbb6,hub
Khamenei_1_Antes,0x003f53a6e0dfe1d19cd586a7cb763f6349936d68,hub
Khamenei_1_Antes,0x00190052a1c2fea6bb2af8a2ccc0362111b23086,hub
Khamenei_1_Antes,0x002efbf79516be459df33b50f45294864263672b,hub
Khamenei_1_Antes,0x007ef54f3e40dd2eb8d788f2662ba210481e2b4e,hub
Khamenei_1_Antes,0x0030de47e9245c7e5f77ffe9a1d8f170f46ab2b7,hub
Khamenei_1_Antes,0xa8a7d1479661a2400b876561e20c632c50d825fe,hub
Khamenei_1_Antes,0x003e8d4c3e0e50bba62deb347a4e43360e49cd6f,hub
Khamenei_1_Antes,0x0082ed5a95f73b57061059e07013a117b42efc76,hub
Khamenei_1_Antes,0x0031b1a23b285e5a6aa5fced3666f1610c0637c0,hub
Khamenei_1_Antes,0x008f3c9a81d379c7b18d9d643f39684115858f13,hub
Khamenei_1_Antes,0x008e4a7b4e045411c65f4de6e47347ef2aa0e542,hub
Khamenei_1_Antes,0x0028a7fde2aff038ae9cab8707a0f166ebf2bc0d,hub
Khamenei_1_Antes,0x007a8ceaee16235db1cf3f6e18ebe3f8ab1037b7,hub
Khamenei_1_Antes,0x00847f19da4353093c2b693806a113956da865e4,hub
Khamenei_1_Antes,0x0078db86f6fcebfed00730dd4576034872d507f9,hub
Khamenei_1_Antes,0x000608f3decea38d709cc2613b2ee8586e2a5933,hub
Khamenei_1_Antes,0x005c42f8e7819169915900bf5854b9d9d9d469ae,hub
Khamenei_1_Antes,0x007e5e26fa4faa6142ba4f18d14c613d19d8cebc,hub
Khamenei_1_Antes,0x3868276fd6d822f0e5d1aa0588a6284670646be5,auth
Khamenei_1_Antes,0x5e196d6069946ef6af2c48f1f9c8f62248d53902,auth
Khamenei_1_Antes,0x28c6c06298d514db089934071355e5743bf21d60,auth
Khamenei_1_Antes,0x30eff8028abc44b69169eb7e9a10bcc6a8be8a64,auth
Khamenei_1_Antes,0x2cff890f0378a11913b6129b2e97417a2c302680,auth
Khamenei_1_Antes,0x717c84aaf99e17928d8c10277f444ecfe34f679b,auth
